AM,29/04/2020
RPM,08/04/2020
REGN,05/05/2020
G,11/05/2020
KSU,17/04/2020
EXEL,05/05/2020
MRCY,28/04/2020
UNP,23/04/2020
SPGI,28/04/2020
THS,07/05/2020
PB,29/04/2020
HPQ,27/05/2020
KO,21/04/2020
DHI,28/04/2020
KMX,02/04/2020
PE,04/05/2020
BMY,07/05/2020
EW,23/04/2020
TER,21/04/2020
SLGN,22/04/2020
BA,29/04/2020
BK,16/04/2020
HAIN,07/05/2020
RS,23/04/2020
TAP,30/04/2020
KMPR,07/05/2020
PCTY,07/05/2020
AXP,24/04/2020
CVS,06/05/2020
EMR,21/04/2020
RGLD,06/05/2020
FBHS,30/04/2020
EVR,22/04/2020
GNRC,30/04/2020
ALB,06/05/2020
GLW,28/04/2020
OLED,07/05/2020
DOV,21/04/2020
NSC,29/04/2020
BIIB,22/04/2020
EL,01/05/2020
EMN,30/04/2020
ABT,16/04/2020
PNR,30/04/2020
VVV,23/04/2020
TFX,30/04/2020
GBT,06/05/2020
MU,25/03/2020
JKHY,04/05/2020
CHH,11/05/2020
ENPH,05/05/2020
LKQ,30/04/2020
MCO,30/04/2020
LITE,05/05/2020
NTNX,27/05/2020
QRVO,07/05/2020
UBER,07/05/2020
VIAC,07/05/2020
C,15/04/2020
ALXN,06/05/2020
DE,22/05/2020
MSI,07/05/2020
UNVR,11/05/2020
TRMB,06/05/2020
CABO,11/05/2020
FTNT,06/05/2020
REYN,07/05/2020
TFSL,30/04/2020
HFC,07/05/2020
KEX,05/05/2020
FLO,13/05/2020
ADM,29/04/2020
SGEN,30/04/2020
UAL,30/04/2020
LPLA,30/04/2020
ETR,11/05/2020
MANH,21/04/2020
DBX,07/05/2020
CCK,20/04/2020
QDEL,06/05/2020
BKR,22/04/2020
IPG,22/04/2020
KNX,22/04/2020
DLTR,28/05/2020
ZBH,11/05/2020
A,21/05/2020
TDC,07/05/2020
TXN,21/04/2020
AAPL,30/04/2020
CG,30/04/2020
SAGE,07/05/2020
TECH,30/04/2020
TMUS,06/05/2020
WST,23/04/2020
CMG,21/04/2020
TREX,04/05/2020
FTDR,06/05/2020
NUAN,07/05/2020
GH,07/05/2020
DXC,28/05/2020
SEE,05/05/2020
STT,17/04/2020
GPK,21/04/2020
HAL,20/04/2020
MKSI,28/04/2020
CRL,07/05/2020
CDAY,06/05/2020
ESI,30/04/2020
NYCB,29/04/2020
PKG,27/04/2020
TEAM,30/04/2020
DVA,05/05/2020
MCY,04/05/2020
MTB,20/04/2020
GDDY,06/05/2020
SNDR,30/04/2020
VOYA,05/05/2020
RBC,04/05/2020
STZ,03/04/2020
FCX,24/04/2020
BWXT,04/05/2020
ALSN,04/05/2020
CSL,21/04/2020
MAS,29/04/2020
OGE,07/05/2020
VMW,28/05/2020
PTC,29/04/2020
TGT,20/05/2020
NXST,06/05/2020
UTHR,29/04/2020
PANW,21/05/2020
PLAN,26/05/2020
WY,01/05/2020
ZG,07/05/2020
RMD,30/04/2020
DAL,22/04/2020
FOXA,06/05/2020
PH,30/04/2020
CHGG,04/05/2020
TWOU,30/04/2020
AN,11/05/2020
ILMN,30/04/2020
FRC,14/04/2020
NYT,06/05/2020
AVT,27/04/2020
PGR,15/04/2020
IP,30/04/2020
BHF,11/05/2020
DELL,28/05/2020
FNF,22/04/2020
ROK,28/04/2020
SRE,04/05/2020
TDG,05/05/2020
MPC,05/05/2020
NET,07/05/2020
DPZ,23/04/2020
NKTR,07/05/2020
LH,29/04/2020
CF,06/05/2020
RJF,29/04/2020
ALK,05/05/2020
VIRT,07/05/2020
BOH,20/04/2020
BIO,06/05/2020
EA,05/05/2020
NLOK,14/05/2020
LOW,20/05/2020
DT,12/05/2020
CC,05/05/2020
AMP,06/05/2020
VRTX,29/04/2020
NOV,27/04/2020
SIRI,28/04/2020
WPX,06/05/2020
PFPT,07/05/2020
VMI,22/04/2020
PNC,15/04/2020
XEC,06/05/2020
FND,30/04/2020
PKI,05/05/2020
LYFT,06/05/2020
URI,29/04/2020
SPR,06/05/2020
NKE,24/03/2020
CRUS,04/05/2020
RGEN,06/05/2020
CMI,28/04/2020
NBIX,06/05/2020
WWE,23/04/2020
USB,15/04/2020
SPOT,29/04/2020
CTXS,23/04/2020
ATVI,05/05/2020
SFM,05/05/2020
BEN,30/04/2020
CGNX,27/04/2020
COMM,07/05/2020
FEYE,28/04/2020
NUS,06/05/2020
NWL,01/05/2020
NWSA,07/05/2020
PBCT,23/04/2020
EXP,19/05/2020
HLF,07/05/2020
CTVA,06/05/2020
HUBS,06/05/2020
HUN,01/05/2020
LEN,19/03/2020
FSLY,06/05/2020
AVLR,07/05/2020
RETA,11/05/2020
EVBG,05/05/2020
APA,06/05/2020
BWA,06/05/2020
UHAL,27/05/2020
FNB,23/04/2020
TFC,20/04/2020
LFUS,29/04/2020
WH,04/05/2020
PSX,01/05/2020
USM,30/04/2020
LVS,22/04/2020
TCF,27/04/2020
BBY,21/05/2020
BILL,07/05/2020
WWD,04/05/2020
HLT,07/05/2020
AGIO,30/04/2020
PEGA,29/04/2020
ZEN,30/04/2020
LUV,28/04/2020
PNW,08/05/2020
TDS,30/04/2020
STAY,06/05/2020
TTWO,20/05/2020
LEA,08/05/2020
SRPT,06/05/2020
SC,28/04/2020
BMRN,29/04/2020
HZNP,06/05/2020
TTD,07/05/2020
KEY,16/04/2020
NRZ,05/05/2020
CVX,01/05/2020
ORI,23/04/2020
ALKS,29/04/2020
APTV,05/05/2020
COP,30/04/2020
WAL,16/04/2020
AAXN,07/05/2020
WTFC,21/04/2020
BYND,05/05/2020
IPGP,05/05/2020
VSAT,26/05/2020
TWLO,06/05/2020
YUMC,28/04/2020
DVN,05/05/2020
SPB,30/04/2020
CLH,29/04/2020
AGCO,05/05/2020
LNG,30/04/2020
GLIBA,07/05/2020
GM,06/05/2020
NEWR,14/05/2020
FSLR,07/05/2020
IT,07/05/2020
VLO,29/04/2020
DXCM,28/04/2020
VFC,15/05/2020
ETRN,14/05/2020
DDOG,11/05/2020
WSM,28/05/2020
TSLA,29/04/2020
TRGP,07/05/2020
XOM,01/05/2020
